A15,A14,A13,A12,A11,A10,A9,A8,A7,A6,A5,A4,A3,A2,A1,A16
2,300.0,g,t,0,f,f,0.5,v,k,g,u,1.75,38.92,b,-
12,0.0,g,f,0,f,f,0.0,z,e,g,u,7.0,62.75,b,-
122,372.0,g,t,0,f,f,0.25,v,c,g,u,1.5,32.25,,-
1210,200.0,g,f,0,f,f,2.5,bb,c,p,y,4.5,26.75,b,-
0,180.0,g,t,3,t,t,0.585,v,c,g,u,0.54,63.33,b,-
3,100.0,g,t,1,t,f,2.25,v,w,g,u,1.5,27.83,b,-
1,276.0,g,t,0,f,f,0.0,j,j,g,u,2.0,26.17,a,-
0,100.0,g,f,0,f,f,0.0,ff,ff,p,y,0.585,22.17,b,-
4000,0.0,g,t,0,f,f,1.5,v,m,p,y,11.5,22.5,b,-
0,0.0,s,t,0,f,f,0.585,v,d,g,u,1.585,30.75,b,-
0,221.0,g,t,0,f,f,0.25,v,i,g,u,2.0,36.67,b,-
1,320.0,g,t,2,t,f,1.0,v,aa,g,u,0.165,16.0,a,-
0,168.0,g,f,0,f,f,0.165,v,d,g,u,1.335,41.17,b,-
0,380.0,g,t,0,f,f,0.04,v,q,g,u,0.165,19.5,a,-
0,120.0,g,t,0,f,f,0.165,v,d,g,u,3.0,32.42,b,-
0,160.0,g,f,0,f,f,0.0,ff,ff,g,u,4.71,36.75,a,-
0,100.0,s,t,0,f,f,5.5,v,k,g,u,5.5,30.25,a,-
4208,100.0,g,t,0,f,f,0.085,ff,ff,g,u,2.5,23.08,b,-
0,100.0,g,f,0,f,f,0.0,ff,k,g,u,0.54,26.83,b,-
0,200.0,s,f,0,f,f,0.29,v,k,p,y,0.335,16.92,b,-
1300,320.0,g,f,2,t,f,0.165,dd,e,g,u,2.0,24.42,b,-
112,352.0,g,t,1,t,f,13.875,v,m,g,u,1.25,42.83,b,-
1000,220.0,g,f,0,f,f,0.165,v,aa,g,u,6.165,22.75,a,-
0,400.0,s,f,0,f,f,0.165,v,m,p,y,1.71,39.42,b,-
16,20.0,g,t,0,f,f,3.0,h,k,p,y,11.5,23.58,a,-
2,132.0,g,t,0,f,f,0.75,n,r,p,y,0.75,21.42,b,-
0,280.0,g,t,0,f,f,7.0,v,w,p,y,2.5,33.0,b,-
1110,140.0,g,t,0,f,f,0.0,dd,e,g,u,13.0,26.33,b,-
0,240.0,s,t,0,f,f,1.0,h,k,g,u,4.585,45.0,a,-
0,100.0,g,f,0,f,f,0.125,v,w,g,u,1.54,26.25,b,-
1004,260.0,g,f,0,f,f,0.04,v,aa,g,u,0.585,28.17,,-
0,260.0,g,f,0,f,f,1.0,dd,e,p,y,0.5,20.83,a,-
286,0.0,g,f,0,f,f,0.125,v,d,g,u,14.5,28.67,b,-
0,240.0,s,t,0,f,f,2.0,v,c,p,y,0.835,20.67,b,-
4500,440.0,g,t,0,f,f,0.125,bb,i,g,u,1.335,34.42,b,-
0,420.0,s,t,0,f,f,4.0,bb,i,g,u,0.25,33.58,b,-
0,141.0,g,t,0,f,f,2.25,bb,i,g,u,5.0,43.17,b,-
0,160.0,g,f,0,f,f,0.165,v,c,g,u,7.0,22.67,a,-
456,200.0,g,f,0,f,f,4.5,bb,i,p,y,2.5,24.33,a,-
4,0.0,g,t,0,f,f,5.0,ff,ff,p,y,4.25,56.83,a,-
1212,100.0,g,t,0,f,f,1.585,v,k,g,u,11.46,22.08,b,-
0,60.0,g,t,0,f,f,1.5,v,c,p,y,5.5,34.0,b,-
67,120.0,g,t,0,f,f,0.54,v,aa,p,y,1.5,22.58,b,-
0,0.0,s,t,0,f,f,0.5,v,c,g,u,0.0,21.17,b,-
0,178.0,g,t,0,f,f,0.0,bb,i,g,u,14.585,26.67,b,-
0,0.0,s,f,0,f,f,0.085,v,m,g,u,0.17,22.92,b,-
0,600.0,g,f,0,f,f,1.0,v,e,g,u,7.0,15.17,b,-
0,550.0,g,f,0,f,f,0.21,bb,i,g,u,5.0,39.92,b,-
0,720.0,g,t,0,f,f,0.25,bb,aa,g,u,12.5,27.42,b,-
1,120.0,g,t,0,f,f,1.0,v,m,g,u,0.54,24.75,b,-
195,0.0,g,f,0,f,f,0.25,v,w,p,y,1.25,41.17,b,-
0,0.0,g,t,0,f,f,0.54,v,d,g,u,1.625,33.08,a,-
1,128.0,g,f,0,f,f,0.04,h,x,p,y,2.04,29.83,b,-
87,120.0,g,f,0,f,f,0.125,ff,ff,p,y,0.585,23.58,a,-
17,0.0,g,t,0,f,f,1.25,h,k,p,y,12.5,26.17,b,-
0,300.0,g,f,0,f,f,0.085,v,c,g,u,2.085,31.0,b,-
184,140.0,g,f,0,f,f,0.29,v,j,p,y,5.085,20.75,b,-
140,220.0,g,f,0,f,f,0.29,v,c,g,u,0.375,28.92,b,-
0,73.0,g,t,0,f,f,3.085,bb,i,g,u,6.5,51.92,a,-
0,160.0,s,f,0,f,f,0.75,v,q,g,u,0.335,22.67,a,-
0,480.0,g,t,0,f,f,1.085,bb,i,p,y,5.085,34.0,b,-
0,0.0,s,f,0,f,f,0.0,ff,ff,g,u,6.0,69.5,a,-
18,,g,f,2,t,f,0.165,v,k,p,y,8.125,40.33,a,-
2,2000.0,g,f,1,t,f,1.0,v,c,p,y,0.665,19.58,a,-
6,0.0,g,f,1,t,f,0.085,v,w,g,u,3.125,16.0,b,-
8,160.0,g,f,4,t,f,0.335,v,q,g,u,0.25,17.08,b,-
146,176.0,g,f,5,t,f,0.0,ff,ff,g,u,2.835,31.25,b,-
22,0.0,g,f,1,t,f,1.25,v,c,g,u,3.0,25.17,b,-
0,144.0,g,f,0,f,f,0.085,v,i,g,u,0.79,22.67,a,-
0,300.0,s,f,0,f,f,0.0,bb,i,g,u,1.5,40.58,b,-
55,280.0,g,t,0,f,f,0.125,v,k,g,u,0.46,22.25,b,-
0,280.0,g,f,0,f,f,3.25,ff,ff,p,y,1.25,22.25,a,-
70,200.0,g,f,0,f,f,0.125,v,k,p,y,0.125,22.5,b,-
1,136.0,g,t,0,f,f,0.54,v,c,g,u,1.79,23.58,b,-
500,225.0,g,f,2,t,f,0.375,v,c,g,u,0.705,38.42,b,-
60,180.0,g,t,0,f,f,0.0,ff,ff,p,y,2.54,26.58,a,-
0,210.0,g,t,0,f,f,1.0,v,i,g,u,2.5,35.0,b,-
7,108.0,g,f,0,f,f,1.5,v,q,g,u,1.085,20.42,b,-
0,200.0,g,f,0,f,f,1.75,v,w,g,u,1.25,29.42,b,-
0,100.0,g,f,0,f,f,1.165,v,cc,g,u,0.835,26.17,b,-
0,120.0,p,f,0,f,f,1.5,v,c,g,u,2.165,33.67,b,-
0,110.0,g,f,0,f,f,0.25,v,c,g,u,1.25,24.58,b,-
50,180.0,g,t,0,f,f,0.25,v,w,g,u,2.04,27.67,a,-
5,120.0,g,f,0,f,f,0.04,v,e,g,u,0.835,37.5,b,-
3,200.0,g,f,0,f,f,0.29,ff,ff,g,u,2.29,49.17,b,-
0,180.0,g,f,0,f,f,0.085,v,cc,p,y,0.335,33.58,b,-
4,180.0,g,f,0,f,f,1.5,ff,ff,p,y,3.0,51.83,b,-
1058,160.0,g,f,0,f,f,0.165,v,c,p,y,3.165,22.92,b,-
0,356.0,g,t,0,f,f,0.085,v,k,g,u,1.54,21.83,b,-
0,200.0,g,f,0,f,f,0.5,v,aa,g,u,1.0,25.25,b,-
0,320.0,g,t,0,f,f,2.415,v,c,g,u,2.71,58.58,b,-
1,45.0,g,f,4,t,f,0.0,ff,ff,p,y,0.0,19.0,b,-
769,350.0,g,f,3,t,f,0.0,ff,ff,g,u,0.585,19.58,b,-
27,62.0,s,t,0,f,f,0.0,ff,ff,g,u,0.165,53.33,a,-
300,92.0,g,f,1,t,f,0.0,ff,ff,g,u,1.25,27.17,a,-
3,174.0,g,t,2,t,f,0.375,v,k,g,u,0.875,25.92,b,-
0,0.0,s,f,11,t,f,1.0,v,k,g,u,0.0,23.08,b,-
1,17.0,g,f,2,t,f,0.0,ff,ff,g,u,5.0,39.58,b,-
0,80.0,s,t,0,f,f,0.125,v,m,p,y,2.71,30.58,b,-
40,160.0,g,t,0,f,f,0.04,v,k,g,u,3.0,17.25,b,-
0,86.0,g,f,0,f,f,0.0,ff,j,p,y,0.0,17.67,a,-
5200,,g,f,0,f,f,0.0,ff,ff,g,u,11.25,,a,-
0,132.0,g,f,0,f,f,0.165,v,c,g,u,0.125,16.5,b,-
1,340.0,g,f,0,f,f,0.0,ff,ff,g,u,1.665,27.33,a,-
19,96.0,g,f,1,t,f,0.0,ff,ff,g,u,1.125,31.25,b,-
0,0.0,g,f,0,f,f,0.5,v,c,g,u,7.0,20.0,b,-
1,0.0,g,f,0,f,f,7.0,bb,i,p,y,3.0,,b,-
316,0.0,g,f,0,f,f,1.5,v,c,g,u,1.625,39.5,b,-
50,454.0,g,f,0,f,f,3.5,v,q,g,u,4.25,36.5,b,-
0,300.0,g,t,0,f,f,0.25,v,w,g,u,0.665,29.75,,-
350,0.0,g,t,0,f,f,3.75,v,d,g,u,1.5,52.42,b,-
3552,320.0,g,f,0,f,f,0.085,v,w,g,u,18.125,36.17,b,-
0,,p,f,0,f,f,0.0,,,,,0.0,34.58,b,-
0,240.0,g,f,0,f,f,0.04,v,c,p,y,0.75,29.67,b,-
687,210.0,g,f,0,f,f,5.0,bb,i,g,u,5.5,36.17,b,-
0,160.0,g,t,0,f,f,1.5,v,c,p,y,0.29,25.67,b,-
0,120.0,g,f,0,f,f,0.0,v,c,p,y,2.415,24.5,a,-
1950,254.0,g,f,4,t,f,0.085,v,m,g,u,0.875,24.08,b,-
0,360.0,g,f,0,f,f,0.125,v,c,g,u,0.5,21.92,b,-
18,200.0,g,f,10,t,f,0.0,ff,ff,g,u,0.29,36.58,a,-
53,200.0,g,f,1,t,f,0.0,j,j,g,u,1.835,23.0,a,-
10,280.0,g,t,1,t,f,2.79,v,m,g,u,3.0,27.58,a,-
41,160.0,g,t,2,t,f,2.5,v,c,g,u,3.085,31.08,b,-
33,0.0,g,f,3,t,f,0.04,h,w,g,u,1.375,30.42,a,-
0,180.0,g,f,0,f,f,0.75,v,k,g,u,2.335,22.08,b,-
0,120.0,g,t,0,f,f,0.415,h,i,g,u,4.085,16.33,b,-
5,320.0,g,f,0,f,f,0.085,h,k,g,u,11.665,21.92,a,-
100,140.0,g,f,0,f,f,0.04,h,i,p,y,4.125,21.08,b,-
100,60.0,g,f,0,f,f,0.125,v,i,g,u,6.5,17.42,b,-
1000,360.0,g,t,0,f,f,1.0,v,i,p,y,4.0,19.17,b,-
44,0.0,g,f,0,f,f,0.125,v,c,g,u,0.415,20.67,b,-
0,80.0,g,t,0,f,f,0.75,v,d,g,u,2.0,26.75,b,-
5,220.0,g,t,0,f,f,0.085,h,i,g,u,0.835,23.58,b,-
0,200.0,s,t,0,f,f,10.0,h,i,p,y,2.5,39.17,b,-
0,0.0,g,f,0,f,f,0.415,v,i,g,u,11.5,22.75,b,-
0,80.0,s,f,0,f,f,0.085,,,p,y,2.71,26.5,,-
35,240.0,g,t,6,t,f,0.165,v,i,g,u,0.5,16.92,a,-
80,280.0,g,t,1,t,f,0.415,v,k,p,y,3.165,23.5,b,-
10,0.0,g,t,10,t,f,1.75,v,aa,g,u,9.5,17.33,a,-
6,128.0,g,f,2,t,f,0.04,v,c,p,y,0.415,23.75,b,-
0,28.0,s,f,0,f,f,1.165,v,m,g,u,1.08,34.67,b,-
351,0.0,g,f,2,t,f,0.04,ff,ff,p,y,19.0,74.83,b,-
2100,216.0,g,f,0,f,f,0.085,v,k,p,y,0.125,28.17,b,-
475,120.0,g,t,0,f,f,0.04,v,aa,p,y,13.335,24.5,b,-
1,180.0,g,t,0,f,f,0.0,ff,ff,p,y,3.54,18.83,b,-
0,263.0,g,t,0,f,f,0.125,v,q,g,u,1.0,45.33,,-
892,333.0,g,f,1,t,t,2.75,h,q,g,u,0.75,47.25,a,+
2000,520.0,g,t,2,t,t,4.625,v,q,g,u,0.875,24.17,b,+
4607,240.0,g,f,14,t,t,6.5,v,m,g,u,9.5,39.25,b,+
0,340.0,g,f,0,f,t,6.0,h,c,g,u,11.835,20.5,a,+
0,240.0,g,f,0,f,t,3.0,h,c,p,y,4.415,18.83,a,+
2206,120.0,g,f,0,f,t,1.5,v,w,g,u,9.5,19.17,b,+
5860,160.0,g,t,0,f,t,1.04,h,x,g,u,0.875,25.0,a,+
28,40.0,g,t,3,t,t,1.665,v,c,g,u,9.25,20.17,b,+
0,312.0,g,t,5,t,t,1.46,v,c,g,u,0.5,25.75,b,+
1391,200.0,g,f,3,t,t,1.625,v,c,g,u,7.0,20.42,b,+
2279,290.0,g,t,3,t,t,5.0,v,x,g,u,4.0,,b,+
0,0.0,g,t,10,t,t,3.5,v,cc,g,u,5.0,39.0,b,+
100,232.0,g,f,1,t,t,0.0,ff,ff,g,u,0.165,64.08,a,+
7,420.0,g,f,2,t,t,4.75,v,x,g,u,5.125,28.25,b,+
0,371.0,g,t,1,t,t,1.085,v,c,g,u,3.75,28.75,a,+
5000,0.0,g,f,16,t,t,7.0,v,c,g,u,19.5,31.33,b,+
591,88.0,g,f,2,t,t,0.75,v,aa,g,u,9.0,18.92,a,+
500,0.0,g,f,19,t,t,1.835,h,q,g,u,3.0,24.75,a,+
19,220.0,g,f,1,t,t,2.0,v,c,g,u,12.0,30.67,a,+
300,80.0,g,t,1,t,t,2.25,v,w,p,y,4.79,21.0,b,+
1000,120.0,g,t,2,t,t,1.75,v,w,p,y,4.0,13.75,b,+
960,100.0,g,f,0,f,t,0.0,j,j,g,u,4.0,46.0,a,+
0,0.0,g,f,0,f,t,2.5,v,c,g,u,0.0,44.33,a,+
0,0.0,g,f,0,f,t,0.0,dd,e,g,u,9.96,20.25,b,+
0,0.0,g,f,0,f,t,2.585,h,c,p,y,2.54,22.67,b,+
0,0.0,g,f,0,f,t,6.5,v,x,g,u,10.5,,b,+
99,0.0,g,f,4,t,t,4.0,v,aa,g,u,5.0,60.92,a,+
690,352.0,g,t,5,t,t,1.75,v,c,g,u,0.75,16.08,b,+
0,80.0,g,f,4,t,t,0.585,v,q,g,u,0.375,28.17,a,+
0,480.0,g,t,5,t,t,0.125,v,x,g,u,1.71,39.17,b,+
234,160.0,g,f,1,t,t,1.5,v,k,g,u,7.5,20.42,,+
500,99.0,g,t,5,t,t,2.25,dd,e,g,u,5.29,30.0,a,+
800,260.0,g,f,1,t,t,1.29,v,m,g,u,3.0,22.83,b,+
990,80.0,g,f,10,t,t,1.75,v,q,g,u,8.5,22.5,a,-
0,440.0,g,t,0,f,t,2.415,v,q,g,u,1.665,28.58,a,-
0,140.0,g,t,0,f,t,2.5,v,c,g,u,1.5,45.17,b,-
0,160.0,g,f,0,f,t,0.21,v,k,g,u,1.75,41.58,b,-
2197,252.0,g,t,0,f,t,1.0,bb,i,g,u,0.335,57.08,a,-
50,100.0,g,t,3,t,t,6.75,h,k,g,u,7.08,55.75,a,-
90,760.0,g,f,1,t,t,0.21,h,q,g,u,25.21,43.25,b,-
1,360.0,g,t,0,f,t,2.75,h,c,g,u,2.085,25.33,a,-
0,400.0,g,f,0,f,t,1.75,h,aa,g,u,0.67,24.58,a,-
0,560.0,g,f,0,f,t,0.75,bb,i,g,u,2.25,43.17,b,-
1,130.0,g,f,0,f,t,0.0,ff,ff,g,u,0.835,40.92,b,-
0,523.0,g,t,0,f,t,7.5,v,aa,g,u,2.5,31.83,b,-
0,320.0,g,f,0,f,t,0.0,ff,ff,p,y,1.585,33.92,a,-
0,80.0,g,f,0,f,t,0.0,ff,ff,g,u,1.25,24.92,a,-
0,680.0,g,t,0,f,t,3.75,h,x,g,u,3.165,35.25,b,-
0,163.0,g,t,0,f,t,0.25,bb,w,g,u,1.75,34.25,b,-
340,0.0,g,f,0,f,t,0.54,,,g,u,5.5,80.25,b,-
20,100.0,g,t,0,f,t,2.0,v,cc,p,y,1.5,19.42,b,-
200,0.0,g,f,0,f,t,1.0,bb,i,g,u,3.0,42.75,b,-
0,140.0,g,t,0,f,t,0.835,h,k,p,y,10.0,19.67,b,-
0,200.0,g,t,0,f,t,1.165,v,w,g,u,3.79,36.33,b,-
28,132.0,g,t,10,t,t,0.5,bb,i,p,y,1.04,30.08,b,-
0,0.0,s,f,0,f,t,1.5,v,d,p,y,11.0,44.25,b,-
347,208.0,g,t,6,t,t,2.625,v,w,p,y,0.46,23.58,b,-
327,200.0,g,f,6,t,t,1.875,h,d,g,u,1.5,23.92,b,+
4071,340.0,g,t,7,t,t,0.75,v,x,g,u,1.0,33.17,b,+
0,110.0,s,f,0,f,t,16.0,v,m,g,u,12.0,48.33,b,+
109,0.0,g,t,1,t,t,12.75,z,e,g,u,22.29,76.75,b,+
1249,0.0,g,f,11,t,t,0.0,bb,i,g,u,10.0,51.33,b,+
134,0.0,g,t,9,t,t,5.375,n,r,g,u,15.0,34.75,b,+
1344,383.0,g,f,14,t,t,4.0,v,w,g,u,3.335,38.58,b,+
321,0.0,g,f,4,t,t,0.75,h,x,p,y,11.25,22.42,a,+
948,220.0,g,f,6,t,t,0.21,h,c,g,u,0.42,41.92,b,+
0,330.0,g,t,2,t,t,7.5,v,w,g,u,4.5,29.58,b,+
2079,120.0,g,f,16,t,t,1.085,v,w,g,u,1.46,32.17,a,+
3000,0.0,g,f,0,f,t,0.04,h,x,g,u,0.04,51.42,b,+
2384,140.0,g,t,7,t,t,2.29,h,q,g,u,2.29,22.83,a,+
458,400.0,g,f,6,t,t,3.5,h,cc,g,u,12.33,25.0,a,+
5298,0.0,g,f,0,f,t,1.25,h,x,g,u,1.125,26.75,b,+
200,422.0,g,f,0,f,t,1.415,h,c,g,u,1.5,23.33,b,+
0,120.0,g,t,0,f,t,1.585,h,q,g,u,12.335,24.42,b,+
0,92.0,g,t,0,f,t,12.75,h,q,g,u,5.04,42.17,b,+
0,100.0,g,f,0,f,t,0.04,v,aa,g,u,3.0,20.83,a,+
284,290.0,g,t,11,t,t,2.125,h,w,g,u,11.5,23.08,b,+
0,360.0,g,f,0,f,t,0.875,h,x,g,u,2.875,25.17,a,+
162,300.0,g,t,8,t,t,0.375,v,c,p,y,0.375,43.08,b,+
1583,0.0,g,f,4,t,t,0.75,v,aa,g,u,0.915,35.75,a,+
58,60.0,g,t,5,t,t,1.75,v,w,g,u,2.75,59.5,b,+
1,160.0,g,t,8,t,t,1.085,v,d,p,y,3.0,21.0,b,+
59,840.0,g,t,1,t,t,0.04,v,x,p,y,0.54,21.92,b,+
1400,0.0,g,t,11,t,t,0.0,ff,ff,g,u,14.0,65.17,a,+
1465,50.0,g,f,4,t,t,1.0,h,c,g,u,10.0,20.33,a,+
8000,432.0,g,t,1,t,t,3.25,h,c,p,y,0.165,32.25,b,+
540,32.0,g,f,11,t,t,1.75,v,c,g,u,0.5,30.17,b,+
0,0.0,g,f,3,t,t,1.0,v,c,g,u,6.0,25.17,b,+
4700,186.0,g,f,10,t,t,1.5,v,c,g,u,1.625,39.17,b,+
1097,108.0,g,t,5,t,t,1.29,v,m,g,u,6.0,39.08,b,+
3290,303.0,g,t,8,t,t,1.335,v,x,g,u,0.83,31.67,b,+
0,560.0,s,f,1,t,f,0.04,v,e,g,u,0.04,41.0,b,+
0,225.0,g,t,0,f,t,0.125,v,m,g,u,4.25,48.5,b,+
0,154.0,g,t,0,f,t,5.25,h,w,p,y,9.0,32.67,b,+
13212,0.0,g,f,0,f,t,0.0,z,e,p,y,15.0,28.08,a,+
0,0.0,g,t,0,f,t,0.0,ff,ff,g,u,17.75,73.42,b,+
1000,0.0,g,t,9,t,t,17.5,h,x,g,u,20.0,64.08,b,+
0,0.0,g,f,9,t,t,8.5,v,c,g,u,15.0,51.58,b,+
5777,160.0,g,t,5,t,t,1.0,v,c,p,y,1.75,26.67,b,+
5124,96.0,g,t,7,t,t,0.29,v,c,g,u,0.58,25.33,b,+
1200,330.0,g,f,8,t,t,3.125,v,cc,g,u,6.5,30.17,b,+
150,312.0,g,t,3,t,t,4.25,h,c,g,u,0.75,27.0,b,+
0,,p,f,0,f,f,0.0,,,,,0.0,23.17,b,+
6,290.0,g,t,0,f,f,0.085,v,w,g,u,5.25,34.17,b,+
0,280.0,g,t,0,f,t,0.085,v,k,g,u,0.21,38.67,b,+
23,349.0,g,f,0,f,t,0.25,bb,c,g,u,0.75,25.75,b,+
4159,396.0,g,t,8,t,t,2.375,v,c,g,u,3.0,46.08,a,+
918,80.0,g,f,3,t,t,2.5,v,aa,g,u,6.0,21.5,a,+
768,240.0,g,f,1,t,f,1.0,v,q,g,u,0.125,20.08,,+
3000,200.0,g,t,11,t,t,2.0,v,c,g,u,2.415,20.5,b,+
500,380.0,g,f,4,t,t,0.54,v,k,g,u,0.46,29.5,a,+
1,150.0,g,t,0,f,f,0.0,,,p,y,1.75,42.25,,-
0,224.0,g,f,0,f,f,0.25,v,k,p,y,1.25,29.83,b,-
0,200.0,g,f,0,f,f,0.125,v,q,g,u,0.25,20.08,b,-
0,180.0,g,f,0,f,t,0.085,h,c,g,u,0.585,23.42,b,-
0,280.0,g,t,0,f,f,1.25,v,k,p,y,1.75,29.58,a,-
0,0.0,g,f,0,f,f,0.04,v,c,g,u,0.04,16.17,b,+
0,232.0,g,t,0,f,f,0.5,v,k,g,u,3.5,32.33,b,-
0,460.0,g,t,0,f,f,4.25,v,d,p,y,0.04,,b,-
0,520.0,g,t,0,f,f,0.085,bb,x,g,u,4.165,47.83,b,-
4,140.0,g,f,0,f,f,0.125,v,k,p,y,1.25,20.0,b,-
1,369.0,g,t,2,t,f,5.085,h,q,p,y,3.25,27.58,b,-
283,420.0,g,f,1,t,f,0.29,v,w,g,u,0.79,22.0,b,-
7,200.0,g,t,2,t,f,0.585,bb,c,g,u,10.915,19.33,b,-
0,160.0,g,f,0,f,f,0.125,v,c,g,u,4.415,38.33,a,-
108,400.0,g,t,2,t,f,0.25,h,c,g,u,1.25,29.42,b,-
9,400.0,g,t,1,t,f,1.585,v,i,g,u,0.75,22.67,b,-
1,160.0,g,f,2,t,f,0.0,ff,ff,p,y,14.0,32.25,b,-
68,460.0,g,t,1,t,f,2.0,v,m,g,u,4.75,29.58,b,-
375,120.0,g,f,0,f,t,0.125,v,aa,p,y,10.415,18.42,b,-
10,160.0,g,f,0,f,f,0.125,v,i,g,u,2.25,22.17,b,-
0,0.0,s,t,0,f,f,2.25,j,c,g,u,0.165,22.67,b,+
0,,p,f,0,f,f,0.0,,,,,0.0,25.58,a,+
1,160.0,g,f,0,f,f,0.665,v,q,g,u,0.0,18.83,b,-
0,160.0,g,f,0,f,f,0.665,v,cc,p,y,0.79,21.58,b,-
0,80.0,s,f,0,f,f,2.085,v,c,g,u,12.0,23.75,b,-
0,,g,t,0,f,f,0.165,bb,i,p,y,7.835,22.0,b,-
1000,0.0,g,f,0,f,f,0.0,ff,ff,g,u,2.54,36.08,b,-
0,228.0,g,f,0,f,f,0.5,h,d,g,u,13.0,29.25,b,-
5,220.0,g,f,0,f,f,1.665,v,w,g,u,0.665,19.58,a,-
809,120.0,g,t,0,f,f,0.25,v,q,g,u,1.25,22.92,a,-
108,272.0,g,t,1,t,f,0.125,h,m,g,u,0.29,27.25,a,-
0,76.0,g,f,0,f,f,0.0,ff,ff,g,u,1.5,38.75,a,-
0,120.0,g,f,0,f,f,0.0,ff,k,p,y,2.165,32.42,b,-
4,240.0,g,t,1,t,f,0.25,v,w,g,u,0.71,23.75,a,-
587,160.0,g,t,2,t,f,0.96,n,c,g,u,2.46,18.17,b,-
0,130.0,g,t,0,f,f,0.5,v,m,p,y,0.5,40.92,b,-
350,80.0,g,f,0,f,f,0.79,v,aa,g,u,9.585,19.5,b,-
0,100.0,g,t,0,f,f,0.25,v,aa,g,u,3.625,28.58,b,-
0,231.0,g,t,0,f,f,1.5,v,k,g,u,0.75,35.58,b,-
200,232.0,g,t,0,f,f,2.5,bb,i,g,u,2.75,34.17,b,-
141,200.0,g,t,0,f,f,3.5,v,cc,p,y,2.25,33.17,,-
0,320.0,g,t,0,f,f,3.5,v,aa,p,y,0.75,31.58,b,-
0,0.0,g,f,0,f,f,3.0,h,aa,g,u,7.0,52.5,a,-
2,309.0,g,t,0,f,f,0.29,v,w,p,y,0.42,36.17,b,-
501,0.0,g,t,0,f,f,0.165,v,cc,g,u,2.665,37.33,b,-
351,0.0,g,f,0,f,f,0.165,v,c,g,u,8.5,20.83,a,-
0,0.0,g,t,0,f,f,0.25,v,aa,g,u,9.0,24.08,b,-
0,340.0,g,t,0,f,f,3.5,h,k,g,u,0.335,25.58,b,-
200,0.0,g,f,6,t,f,0.0,ff,ff,g,u,3.75,35.17,a,-
2,100.0,g,f,0,f,f,1.0,bb,i,g,u,3.75,48.08,b,-
160,0.0,g,t,1,t,f,0.125,v,q,g,u,7.625,15.83,a,-
0,144.0,s,t,0,f,f,0.335,v,i,g,u,0.415,22.5,a,-
68,100.0,g,t,0,f,t,0.5,v,i,g,u,11.5,21.5,b,-
11,200.0,g,t,1,t,f,0.415,v,q,g,u,0.83,23.58,a,-
0,0.0,g,f,0,f,f,0.0,ff,ff,p,y,5.0,21.08,a,-
21,416.0,g,t,1,t,f,2.29,h,c,g,u,3.25,25.67,b,-
390,0.0,g,f,0,f,f,0.25,v,aa,g,u,1.665,38.92,a,-
18,120.0,g,f,0,f,f,1.0,v,c,g,u,0.375,15.75,a,-
154,40.0,g,t,1,t,f,0.25,v,c,g,u,3.75,28.58,a,-
0,0.0,g,f,0,f,f,0.085,v,aa,g,u,9.0,22.25,b,-
0,216.0,g,f,0,f,f,0.165,v,c,g,u,3.5,29.83,b,-
0,160.0,g,t,0,f,f,0.875,v,w,g,u,1.5,23.5,a,-
0,120.0,g,t,0,f,f,1.5,v,cc,p,y,4.0,32.08,b,-
0,160.0,s,f,0,f,f,0.04,v,w,p,y,1.5,31.08,b,-
0,0.0,g,f,0,f,f,0.04,v,m,p,y,0.04,31.83,b,-
0,180.0,g,t,0,f,f,0.25,v,c,g,u,11.75,21.75,a,-
5,80.0,g,t,1,t,f,1.75,v,c,g,u,0.54,17.92,a,-
0,252.0,s,t,0,f,f,0.085,h,d,g,u,0.5,30.33,b,-
1,120.0,g,f,0,f,f,1.5,ff,ff,p,y,2.04,51.83,b,-
150,465.0,g,f,0,f,f,5.5,v,w,g,u,5.835,47.17,b,-
2,0.0,g,f,0,f,f,0.5,v,cc,g,u,12.835,25.83,b,-
117,240.0,g,t,0,f,f,0.5,v,aa,g,u,0.835,50.25,a,-
17,256.0,g,f,0,f,f,2.0,h,e,p,y,2.0,29.5,,-
246,260.0,g,f,0,f,f,0.21,h,i,g,u,2.5,37.33,a,-
237,240.0,g,f,0,f,f,0.665,v,aa,g,u,1.04,41.58,a,-
3,129.0,g,t,12,t,f,0.085,h,q,g,u,10.665,30.58,a,-
1,100.0,g,f,1,t,f,0.04,v,m,g,u,7.25,19.42,b,-
50,0.0,g,f,0,f,f,0.0,ff,ff,g,u,10.21,17.92,a,-
0,0.0,g,f,0,f,f,0.0,v,c,g,u,1.25,20.08,a,-
364,280.0,g,f,0,f,f,0.29,v,k,g,u,0.29,19.5,b,-
537,176.0,g,f,0,f,f,3.0,h,d,p,y,1.0,27.83,b,-
2,140.0,g,t,0,f,f,0.335,v,i,g,u,3.29,17.08,b,-
3,240.0,g,f,0,f,f,0.585,v,d,p,y,0.75,36.42,b,-
0,400.0,s,t,0,f,f,3.5,v,m,g,u,3.29,40.58,b,-
0,260.0,g,f,0,f,f,1.25,h,e,p,y,10.085,21.08,b,-
394,200.0,g,t,2,t,f,2.0,v,c,g,u,0.75,22.67,a,-
1,200.0,g,t,1,t,f,2.0,ff,ff,p,y,13.5,25.25,a,-
750,280.0,g,f,0,f,f,0.04,v,aa,g,u,0.205,17.92,b,-
